한글,영어
공지사항,notice
공장,factory
점검;검사,inspection
중점;우선,priority
관리,management
해외;국외,overseas
외부,external
법규재정,legislation
법규개정,amendment
국내,domestic
법규,regulation
FAQ,faq
업무,task
규정,rule
품질,quality
회의,meeting
행정처분,administrativeMeasure
정보,information
OEM,oem
업체,company
인허가,approval
사항,matter
조직,organization
조직도,organizationChart
평면도,planeFigure
이물,foreignBody
검사,test
설비,facilities
인증서;증명서;수료증,certificate
클레임,claim
개선,improvement
이력,history
고객,customer
불만,complaint
혁신,innovation
팀,team
BSI,bsi
제품,product
기타,etc
규격서,specifications
공정도,processChart
영양성분,nutrient
성적서,testReport
원산지,origin
문서,document
관능평가,sensoryEvaluation
별,each
아카데미,academy
보증,guarantee
실,room
식품,food
안전,safety
센터,center
분석,analysis
방법,method
동영상,video
교육,education
자료,data
소식지,newsletter
번호,number
제목,subject
본문;내용,content
작성자,creator
작성일,createdDate
조회수,hits
삭제일,deletedDate
첨부파일,attachment
팝업,popup
여부;사용여부,state
일시,Datetime
시작,start
끝,end
열람,reading
열람자,reader
분류;구분,category
시행일,enforcementDate
질의,question
답변,answer
근거규정,applicableProvisions
회사,company
과,department
국가,country
기반;기준,base
제조사,maker
항목,item
년,year
월,month
주기,cycle
우수한,excellent
수입,import
결과,result
기관,agency
점검자,inspector
목적,purpose
개정,revision
점검표,checklist
템플릿,template
유효기간,expirationDate
수,number
설명,explanation
인증,authentication
인가,authorization
권한,authority
기준정보,masterData
생산;제조,production
문항,question
처리,processing
비고,note
원인,cause
요청,request
조치,action
전,before
후,after
사진,picture
메모,note
상세,detail
일정,schedule
노출,exposure
종일,allDay
시작일,startedAt
종료일,endedAt
법령;법,law
미작성,unwritten
임시저장,temporaryStore
처리중,inProgress
완료,complete
담당;책임,responsibility
불가,impossibility
폴더,folder
순번,orderNumber
적용,applied
위해,danger
원료,ingredient
검출,detection
분석가능한,analyzable
자제,material
납품,delivery
유통,distribution
단위,unit